date,daily_volume,bin_num,bin_volume,max,min,first,last,quote_imbalance,bin_volatility_part1,bin_volatility_part2,volatility
2020-09-01,728634685,0,12088700,5.53,5.51,5.53,5.51,-0.36922330110030077,1.3127522945825713e-05,1.1250293322117235,
2020-09-01,728634685,1,105230987,5.59,5.5,5.52,5.59,-0.43298980996977526,0.000263451688809644,1.1441149366949035,
2020-09-01,728634685,2,52650593,5.59,5.55,5.58,5.58,-0.5703597147763996,5.1571922956418396e-05,1.1417354955502432,
2020-09-01,728634685,3,69485067,5.6,5.55,5.57,5.55,0.4799168290416435,8.043704125966988e-05,1.1345864571824424,
2020-09-01,728634685,4,43440941,5.56,5.51,5.56,5.55,-0.5312050844666646,8.160385300978669e-05,1.1345864571824424,
2020-09-01,728634685,5,29912820,5.55,5.5,5.55,5.5,0.4521443409631011,8.189952293756689e-05,1.1226355606797704,
2020-09-01,728634685,6,24130300,5.52,5.5,5.5,5.51,-0.5520704718244722,1.3175216101002122e-05,1.1250293322117235,
2020-09-01,728634685,7,48414136,5.55,5.49,5.52,5.54,-0.39452130240155814,0.00011814977453771924,1.1321998662786128,
2020-09-01,728634685,8,20923052,5.55,5.53,5.54,5.54,-0.6256323390614442,1.303291027059316e-05,1.1321998662786128,
2020-09-01,728634685,9,25619005,5.56,5.52,5.54,5.55,-0.6524106288363735,5.213198079864454e-05,1.1345864571824424,
2020-09-01,728634685,10,24361803,5.58,5.54,5.55,5.57,-0.3684400543422982,5.1757601898357916e-05,1.1393542698800887,
2020-09-01,728634685,11,8817251,5.59,5.56,5.58,5.57,-0.2847339148113522,2.895708640241847e-05,1.1393542698800887,
2020-09-01,728634685,12,19512960,5.58,5.56,5.57,5.58,-0.5728845674558798,1.2892897625031175e-05,1.1417354955502432,
2020-09-01,728634685,13,23463200,5.58,5.55,5.57,5.56,-0.4152896794593782,2.906124900415083e-05,1.1369712577378297,
2020-09-01,728634685,14,12133437,5.58,5.55,5.56,5.57,0.7953625903225755,2.906124900415083e-05,1.1393542698800887,
2020-09-01,728634685,15,16978700,5.58,5.56,5.56,5.57,-0.7122864632791308,1.2892897625031175e-05,1.1393542698800887,
2020-09-01,728634685,16,15301734,5.58,5.55,5.57,5.55,0.13147086341848171,2.906124900415083e-05,1.1345864571824424,
2020-09-01,728634685,17,18211580,5.56,5.52,5.56,5.52,-0.7276698395863246,5.213198079864454e-05,1.1274213057137026,
2020-09-01,728634685,18,18362900,5.54,5.52,5.52,5.53,0.2699775521079907,1.3080088290607002e-05,1.1298114830968669,
2020-09-01,728634685,19,14277604,5.55,5.52,5.52,5.52,0.37039984209447824,2.9377131372190497e-05,1.1274213057137026,
2020-09-01,728634685,20,15865440,5.54,5.52,5.53,5.53,0.12315944248984852,1.3080088290607002e-05,1.1298114830968669,
2020-09-01,728634685,21,19457500,5.54,5.51,5.53,5.52,0.6305464465273162,2.9483570689833087e-05,1.1274213057137026,
2020-09-01,728634685,22,18515981,5.53,5.51,5.51,5.52,-0.11903421486446852,1.3127522945825713e-05,1.1274213057137026,
2020-09-01,728634685,23,23982773,5.54,5.51,5.52,5.53,0.5224496217999974,2.9483570689833087e-05,1.1298114830968669,
2020-09-01,728634685,24,47496221,5.57,5.53,5.54,5.57,-0.5532448097414187,5.1944285425774205e-05,1.1393542698800887,
2020-09-02,1407714025,0,4960630,5.62,5.62,5.62,5.62,0.35232096866034573,0.0,1.151242572523132,
2020-09-02,1407714025,1,95024153,5.64,5.54,5.63,5.63,-0.2509140594859532,0.0003200365269721758,1.1536148951392138,
2020-09-02,1407714025,2,137262768,5.69,5.62,5.64,5.69,-0.21321016522275907,0.0001532293476045629,1.1678116312391287,
2020-09-02,1407714025,3,106233073,5.71,5.65,5.69,5.67,-0.06816948372060687,0.00011158707822213129,1.1630864582721139,
2020-09-02,1407714025,4,60507617,5.68,5.64,5.67,5.66,-0.014140170901133203,4.9944852559150876e-05,1.1607212226241286,
2020-09-02,1407714025,5,53390021,5.68,5.65,5.66,5.67,0.8491821374892908,2.8044306888940873e-05,1.1630864582721139,
2020-09-02,1407714025,6,127143483,5.75,5.67,5.67,5.74,-0.37616692298146087,0.0001963007532334179,1.179593750170132,
2020-09-02,1407714025,7,64616433,5.76,5.72,5.75,5.76,-0.4380855048095563,4.8562352037062153e-05,1.1842943146044789,
2020-09-02,1407714025,8,61711386,5.77,5.72,5.75,5.72,-0.2910082841852571,7.574699795891447e-05,1.1748861748681831,
2020-09-02,1407714025,9,69232536,5.72,5.65,5.72,5.65,0.6711916806986854,0.0001516163775743681,1.1583542182098105,
2020-09-02,1407714025,10,37250980,5.69,5.65,5.65,5.68,0.5380945457531687,4.9768834134469316e-05,1.1654499271451768,
2020-09-02,1407714025,11,28837850,5.71,5.66,5.67,5.7,0.16801794588768088,7.735433727251283e-05,1.1701715725540744,
2020-09-02,1407714025,12,27127303,5.72,5.68,5.71,5.69,-0.04274149935433757,4.924632601938346e-05,1.1678116312391287,
2020-09-02,1407714025,13,37379046,5.73,5.68,5.69,5.73,-0.10907054690618562,7.681291932041902e-05,1.177240839888056,
2020-09-02,1407714025,14,34346059,5.75,5.72,5.74,5.74,-0.3166068247939498,2.7363878008878685e-05,1.179593750170132,
2020-09-02,1407714025,15,20563278,5.74,5.72,5.74,5.73,0.14911903836137239,1.2182926643560818e-05,1.177240839888056,
2020-09-02,1407714025,16,23296584,5.74,5.71,5.72,5.72,0.760350608322973,2.745955626891278e-05,1.1748861748681831,
2020-09-02,1407714025,17,16341731,5.74,5.71,5.72,5.73,0.43069914789162017,2.745955626891278e-05,1.177240839888056,
2020-09-02,1407714025,18,25836869,5.73,5.71,5.72,5.73,-0.20433602886704125,1.222556161174541e-05,1.177240839888056,
2020-09-02,1407714025,19,27271631,5.74,5.71,5.73,5.74,-0.6509950989457061,2.745955626891278e-05,1.179593750170132,
2020-09-02,1407714025,20,46124943,5.75,5.72,5.74,5.75,-0.11141844167859602,2.7363878008878685e-05,1.1819449077343909,
2020-09-02,1407714025,21,161992878,5.8,5.75,5.75,5.78,-0.027010212885277978,7.496205046370792e-05,1.1889878843744703,
2020-09-02,1407714025,22,51612908,5.79,5.75,5.77,5.75,0.7157908387783153,4.805867964831074e-05,1.1819449077343909,
2020-09-02,1407714025,23,47915777,5.76,5.72,5.76,5.75,-0.07220629909965612,4.8562352037062153e-05,1.1819449077343909,
2020-09-02,1407714025,24,41734088,5.75,5.74,5.75,5.75,-0.30682628842291493,3.029843198039574e-06,1.1819449077343909,
2020-09-03,1129520561,0,12604600,5.78,5.76,5.78,5.76,-0.22297066946412714,1.2014597736257452e-05,1.1842943146044789,
